eno,dno,commune,statut,nom
0020078Z,2    ,Laon                                              ,Public                             ,Lycée professionnel Julie Daubie                                                                                                                     
0540040A,54   ,Nancy                                             ,Public                             ,Lycée Frédéric Chopin                                                                                                                              
0790928E,79   ,Niort                                             ,Public                             ,Lycée professionnel G. Barré                                                                                                                        
0690023A,69   ,Lyon 2e  Arrondissement                           ,Public                             ,Lycée Ampère                                                                                                                                        
0030098R,3    ,Montluçon                                        ,Public                             ,I.U.T. d'Allier - site de Montluçon                                                                                                                  
0912251C,91   ,Palaiseau                                         ,Public                             ,Lycée Henri Poincare                                                                                                                                 
0011170S,1    ,Montluel                                          ,Privé sous contrat d'association  ,MFR Domaine de La Saulsaie                                                                                                                            
0911946W,91   ,Saint-Michel-sur-Orge                             ,Public                             ,Lycée Leonard De Vinci                                                                                                                               
0541669W,54   ,Vandoeuvre-lès-Nancy                             ,Public                             ,Unité de Formation et de Recherche de Sciences Médicales de l'université de Lorraine Hors PASS                                                     
0710010A,71   ,Chalon-sur-Saône                                 ,Public                             ,Lycée Mathias                                                                                                                                        
0660552S,66   ,Perpignan                                         ,Privé sous contrat d'association  ,Lycée NEOSUP Ecole Maso                                                                                                                              
0430947W,43   ,Monistrol-sur-Loire                               ,Public                             ,Lycée Léonard de Vinci                                                                                                                              
0624430D,62   ,Arras                                             ,Public                             ,GAMBETTA CARNOT                                                                                                                                       
9720643S,972  ,Fort-de-France                                    ,Public                             ,CENTRE REGIONAL ASSOC DU CNAM FORT DE FRANCE                                                                                                          
0721513D,72   ,Le Mans                                           ,Privé enseignement supérieur     ,EGC Le Mans                                                                                                                                           
0920956P,92   ,Ville-d'Avray                                     ,Public                             ,I.U.T de Ville d'Avray                                                                                                                                
0670141P,67   ,Strasbourg                                        ,Public                             ,"Centre de Ressources, d'Expertise et de Performance Sportive de Strasbourg (CREPS)                                                                    "
0530818B,53   ,Mayenne                                           ,Privé sous contrat d'association  ,Lycée agricole ROCHEFEUILLE                                                                                                                          
0150030B,15   ,Saint-Flour                                       ,Public                             ,Lycée de Haute Auvergne                                                                                                                              
0672341F,67   ,Strasbourg                                        ,Public                             ,IFSI Strasbourg (Hus)                                                                                                                                 
0930138V,93   ,Saint-Denis                                       ,Public                             ,Lycée professionnel Frederic Bartholdi                                                                                                               
0940743X,94   ,Villeneuve-le-Roi                                 ,Public                             ,Lycée Georges Brassens                                                                                                                               
0400934Y,40   ,Mont-de-Marsan                                    ,Public                             ,I.U.T des Pays de l'Adour - Antenne de Mont De Marsan                                                                                                 
0762642J,76   ,Rouen                                             ,Public                             ,ERFPS CHU Rouen                                                                                                                                       
0190010H,19   ,Brive-la-Gaillarde                                ,Public                             ,Lycée Georges Cabanis                                                                                                                                
0920928J,92   ,Rueil-Malmaison                                   ,Privé sous contrat d'association  ,Lycée La Salle Passy Buzenval                                                                                                                        
0640131V,64   ,Pau                                               ,Privé sous contrat d'association  ,Lycée St Dominique                                                                                                                                   
0791055T,79   ,Niort                                             ,Public                             ,CNAM Nouvelle-Aquitaine                                                                                                                               
0830015R,83   ,Draguignan                                        ,Public                             ,Lycée Jean Moulin                                                                                                                                    
0932324W,93   ,Neuilly-sur-Marne                                 ,Public                             ,IFSI EPS Ville Evrard                                                                                                                                 
0540098N,54   ,Essey-lès-Nancy                                  ,Public                             ,"Centre de Ressources, d'Expertise et de Performance Sportive de Nancy (CREPS)                                                                         "
0790024X,79   ,Niort                                             ,Public                             ,Lycée Paul Guerin                                                                                                                                    
0132939Z,13   ,Marseille  3e  Arrondissement                     ,Public                             ,I.F.S.I. BLANCARDE                                                                                                                                    
0641823J,64   ,Biarritz                                          ,Public                             ,Lycée des Métiers - Hôtelier et de Tourisme                                                                                                        
0330003Z,33   ,Arcachon                                          ,Public                             ,Lycée Grand Air                                                                                                                                      
0922398G,92   ,Rueil-Malmaison                                   ,Public                             ,Lycée Gustave Eiffel                                                                                                                                 
0341884N,34   ,Béziers                                          ,Public                             ,I.U.T de Béziers                                                                                                                                     
0060075Z,6    ,Nice                                              ,Public                             ,Lycée Les Eucalyptus                                                                                                                                 
0021869W,2    ,Château-Thierry                                  ,Privé sous contrat d'association  ,Lycée Saint Joseph                                                                                                                                   
0441946B,44   ,Nantes                                            ,Privé sous contrat d'association  ,Ecole Sup. ENSEC                                                                                                                                      
0440104Z,44   ,Nantes                                            ,Public                             ,Ecole Nationale Supérieure d'Architecture de Nantes                                                                                                  
0212195Z,21   ,Dijon                                             ,Privé sous contrat d'association  ,ESEO Dijon                                                                                                                                            
0580758J,58   ,Nevers                                            ,Public                             ,Université de Bourgogne - site de Nevers                                                                                                             
0771984N,77   ,Melun                                             ,Public                             ,IFSI CH Marc Jacquet Melun                                                                                                                            
0770934X,77   ,Melun                                             ,Public                             ,Lycée Leonard De Vinci                                                                                                                               
0292319N,29   ,Brest                                             ,Privé sous contrat d'association  ,ITES BREST                                                                                                                                            
0690698J,69   ,Lyon                                              ,Privé sous contrat d'association  ,Lycée professionnel Des Métiers d'Art SEPR                                                                                                          
0690032K,69   ,Lyon 2e  Arrondissement                           ,Public                             ,Lycée Juliette Récamier                                                                                                                             
0382852U,38   ,Grenoble                                          ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Grenoble                                                                                                                  
0620229M,62   ,Berck                                             ,Public                             ,EREA Saint Exupéry                                                                                                                                   
0750588G,75   ,Paris 16e  Arrondissement                         ,Public                             ,Lycée professionnel Rene Cassin                                                                                                                      
0942117R,94   ,La Queue-en-Brie                                  ,Public                             ,IFSI Séraphine de Senlis - CH Les Murets                                                                                                             
0271579V,27   ,Evreux                                            ,Public                             ,Lycée Léopold Sédar Senghor                                                                                                                        
0420040R,42   ,Saint-Chamond                                     ,Public                             ,Lycée Claude Lebois                                                                                                                                  
0492298G,49   ,Angers                                            ,Privé sous contrat d'association  ,Ecole Technique Supérieure de Chimie de l'Ouest                                                                                                      
0430098Y,43   ,Le Puy-en-Velay                                   ,Privé sous contrat d'association  ,Lycée polyvalent Saint Jacques de Compostelle                                                                                                        
0312746S,31   ,Tournefeuille                                     ,Public                             ,Lycée Marie Louise Dissard Françoise                                                                                                                
0090003E,9    ,Ferrières-sur-Ariège                            ,Public                             ,Lycée professionnel Jean Durroux                                                                                                                     
0750693W,75   ,Paris 15e  Arrondissement                         ,Public                             ,Lycée Buffon                                                                                                                                         
0021873A,2    ,Saint-Quentin                                     ,Privé sous contrat d'association  ,Lycée Saint- Jean et La Croix                                                                                                                        
0451526P,45   ,Orléans                                          ,Public                             ,Lycée Charles Peguy                                                                                                                                  
0772292Y,77   ,Bussy-Saint-Georges                               ,Public                             ,Lycée Martin Luther King                                                                                                                             
0910687C,91   ,Massy                                             ,Public                             ,Lycée Fustel De Coulanges                                                                                                                            
9730336C,973  ,Cayenne                                           ,Privé sous contrat d'association  ,IRDTS Cayenne                                                                                                                                         
0450062Y,45   ,Pithiviers                                        ,Public                             ,Lycée Duhamel du Monceau                                                                                                                             
0330069W,33   ,Cenon                                             ,Public                             ,Lycée des métiers des soins et des services à la personne La Morlette                                                                              
0180571Y,18   ,Bourges                                           ,Privé sous contrat d'association  ,Lycée St Jean Baptiste De La Salle                                                                                                                   
0601748Z,60   ,Beauvais                                          ,Public                             ,Institut de Formation en Soins Infirmiers - BEAUVAIS                                                                                                  
9710882G,971  ,Petit-Bourg                                       ,Public                             ,Lycée Les Droits De L'Homme                                                                                                                          
0611175W,61   ,La Ferté Macé                                   ,Privé sous contrat d'association  ,MFREO de la Ferté Macé                                                                                                                              
0880023X,88   ,Epinal                                            ,Public                             ,Lycée professionnel Isabelle Viviani                                                                                                                 
0520008B,52   ,Chaumont                                          ,Public                             ,LP Eugène DECOMBLE                                                                                                                                   
9720429J,972  ,Fort-de-France                                    ,Public                             ,Lycée professionnel Régional de Dillon                                                                                                              
0680001G,68   ,Altkirch                                          ,Public                             ,Lycée Jean Jacques Henner                                                                                                                            
0501839C,50   ,Carentan-les-Marais                               ,Public                             ,Lycée Sivard De Beaulieu                                                                                                                             
0401002X,40   ,Saint-Paul-lès-Dax                               ,Public                             ,Lycée Haroun Tazieff                                                                                                                                 
0641923T,64   ,Bayonne                                           ,Privé sous contrat d'association  ,CPBx (ESTIA)                                                                                                                                          
9730309Y,973  ,Cayenne                                           ,Public                             ,Lycée Melkior Garre                                                                                                                                  
0031121C,3    ,Vichy                                             ,Public                             ,Université Clermont Auvergne - Antenne de Vichy - UFR STAPS                                                                                          
0693521C,69   ,Bron                                              ,Public                             ,I.U.T LUMIERE Lyon 2                                                                                                                                  
0940608A,94   ,Maisons-Alfort                                    ,Public                             ,École nationale vétérinaire d-Alfort                                                                                                               
0931024H,93   ,Aubervilliers                                     ,Public                             ,Lycée professionnel Jean-Pierre Timbaud                                                                                                              
0670085D,67   ,Strasbourg                                        ,Public                             ,Lycée Louis Couffignal                                                                                                                               
0371395R,37   ,Azay-le-Rideau                                    ,Privé sous contrat d'association  ,MFREO d'Azay le Rideau                                                                                                                                
0100687T,10   ,Les Loges-Margueron                               ,Public                             ,Lycée agricole Forestier de Crogny                                                                                                                   
0251872Z,25   ,Besançon                                         ,Privé enseignement supérieur     ,IMEA Besançon                                                                                                                                        
0570094T,57   ,Sarrebourg                                        ,Public                             ,Lycée Mangin                                                                                                                                         
0551086G,55   ,Verdun                                            ,Public                             ,CNAM Grand Est - Verdun                                                                                                                               
0331760J,33   ,Mérignac                                         ,Public                             ,Lycée Fernand Daguin                                                                                                                                 
0690193K,69   ,Marcy-l'Etoile                                    ,Public                             ,"Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'envi                       "
0420041S,42   ,Saint-Etienne                                     ,Public                             ,Lycée Claude Fauriel                                                                                                                                 
0810103X,81   ,Castres                                           ,Privé sous contrat d'association  ,Lycée Notre Dame                                                                                                                                     
0763500S,76   ,Le Havre                                          ,Privé sous contrat d'association  ,Lycée polyvalent privé Saint Vincent de Paul                                                                                                        
0620109G,62   ,Lens                                              ,Public                             ,Lycée Auguste Behal                                                                                                                                  
0782563M,78   ,Versailles                                        ,Public                             ,Lycée La Bruyère                                                                                                                                    
0241131Z,24   ,Périgueux                                        ,Public                             ,Université de Bordeaux - Antenne de Périgueux                                                                                                       
0221036G,22   ,Lannion                                           ,Public                             ,I.U.T de Lannion                                                                                                                                      
0593030Y,59   ,Loos                                              ,Privé sous contrat d'association  ,Lycée professionnel Notre-Dame du Sacré Coeur                                                                                                       
0492407A,49   ,Angers                                            ,Privé sous contrat d'association  ,LGT Urbain MONGAZON                                                                                                                                   
0623137Y,62   ,Boulogne-sur-Mer                                  ,Public                             ,IFSI CH Boulogne Sur Mer                                                                                                                              
0220097L,22   ,Guingamp                                          ,Privé sous contrat d'association  ,Lycée-Collège NOTRE-DAME                                                                                                                            
0130040Y,13   ,Marseille  1er Arrondissement                     ,Public                             ,Lycée Thiers                                                                                                                                         
0071301B,7    ,Annonay                                           ,Public                             ,IFSI CH Ardèche Nord                                                                                                                                 
0330028B,33   ,Bordeaux                                          ,Public                             ,Lycée Gustave Eiffel                                                                                                                                 
0460493L,46   ,Cahors                                            ,Public                             ,Lycée Gaston Monnerville                                                                                                                             
0850144V,85   ,La Roche-sur-Yon                                  ,Public                             ,Lycée agricole Nature                                                                                                                                
0673021E,67   ,Strasbourg                                        ,Public                             ,CPI Strasbourg (ECPM)                                                                                                                                 
0601910A,60   ,Beauvais                                          ,Public                             ,Université d'Amiens - Antenne de Beauvais                                                                                                            
9741103F,974  ,Le Port                                           ,Public                             ,Ecole d'Architecture de la Réunion - Antenne de l'ENSAM                                                                                              
0592763H,59   ,Maubeuge                                          ,Public                             ,CENTRE REGIONAL ASSOCIE AU CONSERVATOIRE NATIONAL DES ARTS ET METIERS DE PARIS                                                                        
0261160V,26   ,Valence                                           ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Valence                                                                                                                   
0762284V,76   ,Mesnières-en-Bray                                ,Privé sous contrat d'association  ,Lycée professionnel Agricole Saint Joseph                                                                                                            
0921399W,92   ,Montrouge                                         ,Public                             ,Lycée Maurice Genevoix                                                                                                                               
0130036U,13   ,Marseille  8e  Arrondissement                     ,Public                             ,Lycée Perier                                                                                                                                         
0750695Y,75   ,Paris 15e  Arrondissement                         ,Public                             ,Lycée Fresnel                                                                                                                                        
0422311J,42   ,Saint-Etienne                                     ,Public                             ,Sciences Po Lyon - Institut d'Etudes Politiques - campus de Saint-Etienne                                                                             
0040490L,4    ,Digne-les-Bains                                   ,Public                             ,Lycée PIERRE-GILLES DE GENNES                                                                                                                        
0370800U,37   ,Tours                                             ,Public                             ,Université de Tours                                                                                                                                  
0350098S,35   ,Rennes                                            ,Public                             ,IFSI CHRU Rennes                                                                                                                                      
0133516B,13   ,Aix-en-Provence                                   ,Public                             ,Aix Marseille Université - Site d'Aix-en-Provence (Montperrin)                                                                                       
0623911P,62   ,Lens                                              ,Public                             ,Université d'Artois - Site de Lens                                                                                                                   
0212174Z,21   ,Dijon                                             ,Public                             ,Sciences Po - campus de Dijon - Institut d'études politiques                                                                                         
0693550J,69   ,Villeurbanne                                      ,Public                             ,Polytech Lyon                                                                                                                                         
9710804X,971  ,Baie-Mahault                                      ,Public                             ,Lycée agricole Convenance                                                                                                                            
0311219G,31   ,Toulouse                                          ,Privé sous contrat d'association  ,Lycée professionnel Sainte-Marie Saint-Sernin                                                                                                        
0950656X,95   ,Cormeilles-en-Parisis                             ,Public                             ,Lycée professionnel Le Corbusier                                                                                                                     
0932618R,93   ,Dugny                                             ,Privé sous contrat d'association  ,LYCEE TECHNOLOGIQUE PRIVE ROBERT SCHUMAN                                                                                                              
0220064A,22   ,Saint-Quay-Portrieux                              ,Public                             ,Lycée professionnel La Closerie                                                                                                                      
9720583B,972  ,Fort-de-France                                    ,Public                             ,IFSI CHU Martinique                                                                                                                                   
0170393K,17   ,Surgères                                         ,Public                             ,Lycée CFA de l'Alimentation - ENILIA ENSMIC                                                                                                          
0141904U,14   ,Les Moutiers-en-Cinglais                          ,Privé sous contrat d'association  ,MFREO La Bagotière                                                                                                                                   
0780422K,78   ,Les Mureaux                                       ,Public                             ,Lycée Francois Villon                                                                                                                                
0131402D,13   ,Marseille  6e  Arrondissement                     ,Privé sous contrat d'association  ,Lycée Charles Peguy                                                                                                                                  
0420018S,42   ,Montbrison                                        ,Public                             ,Lycée Beauregard                                                                                                                                     
0332081H,33   ,Pauillac                                          ,Public                             ,Lycée Odilon Redon                                                                                                                                   
0640176U,64   ,Pau                                               ,Privé sous contrat d'association  ,Institut du Travail Social de Pau                                                                                                                     
0022044L,2    ,Soissons                                          ,Public                             ,Lycée des Métiers le Corbusier de Soissons                                                                                                          
9740952S,974  ,Saint-Joseph                                      ,Public                             ,Lycée Pierre Poivre                                                                                                                                  
0211091X,21   ,Dijon                                             ,Privé sous contrat d'association  ,Lycée Les Arcades                                                                                                                                    
0596162C,59   ,Lille                                             ,Privé enseignement supérieur     ,Institut Catholique de Lille-Faculté Libre Droit                                                                                                     
0670190T,67   ,Strasbourg                                        ,Public                             ,INSA Strasbourg                                                                                                                                       
0061763J,6    ,Nice                                              ,Public                             ,Lycée Guillaume APOLLINAIRE                                                                                                                          
0211986V,21   ,Dijon                                             ,Public                             ,Lycée Les Marcs D'Or                                                                                                                                 
0350936C,35   ,Rennes                                            ,Public                             ,Université de Rennes 1                                                                                                                               
0622949U,62   ,Boulogne-sur-Mer                                  ,Public                             ,Lycée Mariette                                                                                                                                       
0521032P,52   ,Chaumont                                          ,Public                             ,Lycée Charles De Gaulle                                                                                                                              
0300023M,30   ,Nîmes                                            ,Public                             ,Lycée ALBERT CAMUS                                                                                                                                   
0341335S,34   ,Béziers                                          ,Public                             ,IFSI CH Béziers                                                                                                                                      
0912255G,91   ,Evry-Courcouronnes                                ,Public                             ,Institut Mines-Télécom Business School                                                                                                              
0340040J,34   ,Montpellier                                       ,Public                             ,Lycée Jules Guesde                                                                                                                                   
0050604E,5    ,Gap                                               ,Public                             ,I.U.T d'Aix-Marseille - Site de Gap                                                                                                                   
0801327H,80   ,Amiens                                            ,Public                             ,Lycée Edouard Branly                                                                                                                                 
0580661D,58   ,Varzy                                             ,Privé sous contrat d'association  ,Lycée professionnel Agricole Horticole Rural du Haut Nivernais                                                                                       
0221589H,22   ,Loudéac                                          ,Privé sous contrat d'association  ,Lycée St Joseph                                                                                                                                      
0790090U,79   ,Parthenay                                         ,Public                             ,Lycée professionnel Les Grippeaux                                                                                                                    
0831025N,83   ,Ollioules                                         ,Privé sous contrat d'association  ,IFSI Croix Rouge Française Ollioules                                                                                                                 
9730144U,973  ,Cayenne                                           ,Public                             ,IFSI CH Cayenne                                                                                                                                       
0781512V,78   ,Montigny-le-Bretonneux                            ,Public                             ,Lycée Descartes                                                                                                                                      
0500060U,50   ,Pont-Hébert                                      ,Public                             ,Lycée agricole St Lô Thère                                                                                                                         
0922707T,92   ,Issy-les-Moulineaux                               ,Privé enseignement supérieur     ,Faculté de Droit campus Issy-les-Moulineaux - Institut Catholique de Lille                                                                           
0720896H,72   ,La Flèche                                        ,Public                             ,Lycée Militaire Prytanee National                                                                                                                    
0861283C,86   ,Châtellerault                                    ,Public                             ,I.U.T. Poitiers (site Chatellerault)                                                                                                                  
0951727L,95   ,Fosses                                            ,Public                             ,Lycée Charles BAUDELAIRE                                                                                                                             
0290022S,29   ,Carhaix-Plouguer                                  ,Public                             ,Lycée Paul Sérusier                                                                                                                                 
0690042W,69   ,Lyon 8e  Arrondissement                           ,Public                             ,Lycée Colbert                                                                                                                                        
0850025R,85   ,La Roche-sur-Yon                                  ,Public                             ,LGT Pierre Mendès France                                                                                                                             
0890985M,89   ,Sens                                              ,Public                             ,IFSI CH Sens                                                                                                                                          
0470038L,47   ,Villeneuve-sur-Lot                                ,Public                             ,Lycée des métiers du tertiaire et du social Georges Leygues                                                                                         
9710047Z,971  ,Les Abymes                                        ,Public                             ,"Centre de Ressources, d'Expertise et de Performance Sportive Antilles-Guyane (CREPS)                                                                  "
0291541T,29   ,Quimper                                           ,Public                             ,IFSI Quimper                                                                                                                                          
0932126F,93   ,Dugny                                             ,Public                             ,Lycée Francois Rabelais                                                                                                                              
0572081C,57   ,Metz                                              ,Public                             ,Université de Lorraine - Site de Metz                                                                                                                
0741307U,74   ,Thonon-les-Bains                                  ,Privé sous contrat d'association  ,Lycée Jeanne d'Arc                                                                                                                                   
0220023F,22   ,Lannion                                           ,Public                             ,Lycée Felix Le Dantec                                                                                                                                
0390027T,39   ,Hauts de Bienne                                   ,Public                             ,Lycée Victor Bérard de MOREZ                                                                                                                        
0760023M,76   ,Dieppe                                            ,Public                             ,Lycée Jehan Ango                                                                                                                                     
0352771X,35   ,Rennes                                            ,Public                             ,AGROCAMPUS OUEST Rennes                                                                                                                               
0390987L,39   ,Dole                                              ,Public                             ,IFSI CH Dole                                                                                                                                          
