fno,selectivite,filiere
17831,formation sélective                              ,Mention complémentaire                                                                                                                               
6578,formation sélective                              ,BTS - Services                                                                                                                                        
5449,formation sélective                              ,BTS - Production                                                                                                                                      
4244,formation sélective                              ,BTS - Production                                                                                                                                      
24135,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
29848,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
25796,formation sélective                              ,BTS - Production                                                                                                                                      
7527,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
32700,formation sélective                              ,Diplôme d'Université                                                                                                                                
2524,formation sélective                              ,BTS - Services                                                                                                                                        
20155,formation sélective                              ,BTS - Production                                                                                                                                      
26881,formation sélective                              ,DN MADE                                                                                                                                               
24469,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
5145,formation sélective                              ,BTS - Services                                                                                                                                        
4323,formation sélective                              ,BTS - Production                                                                                                                                      
7364,formation sélective                              ,BTS - Services                                                                                                                                        
21200,formation sélective                              ,BTS - Services                                                                                                                                        
26459,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
22962,formation sélective                              ,BTS - Services                                                                                                                                        
11553,formation sélective                              ,BTS - Services                                                                                                                                        
20194,formation sélective                              ,BTS - Services                                                                                                                                        
31576,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
30553,formation sélective                              ,Mention complémentaire                                                                                                                               
9401,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7909,formation sélective                              ,BTS - Services                                                                                                                                        
32253,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
4802,formation sélective                              ,BTS - Services                                                                                                                                        
2229,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
10459,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
11690,formation sélective                              ,BTS - Services                                                                                                                                        
10323,formation sélective                              ,BTS - Agricole                                                                                                                                        
17934,formation sélective                              ,BTS - Production                                                                                                                                      
27309,formation sélective                              ,Classe préparatoire aux études supérieures                                                                                                         
11966,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
6504,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
9875,formation sélective                              ,BTS - Services                                                                                                                                        
30894,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
30796,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
16128,formation sélective                              ,BTS - Production                                                                                                                                      
9689,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
8682,formation sélective                              ,BTS - Agricole                                                                                                                                        
10261,formation sélective                              ,BTS - Production                                                                                                                                      
25352,formation sélective                              ,Mise à niveau                                                                                                                                        
30928,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
30554,formation sélective                              ,BTS - Services                                                                                                                                        
4272,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
28060,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
28942,formation sélective                              ,BTS - Agricole                                                                                                                                        
5206,formation sélective                              ,BTS - Services                                                                                                                                        
4456,formation sélective                              ,BTS - Services                                                                                                                                        
32742,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
7405,formation sélective                              ,BTS - Services                                                                                                                                        
27741,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
15834,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4587,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
8516,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
26149,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
10872,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
7515,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
18834,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4668,formation sélective                              ,BTS - Agricole                                                                                                                                        
11803,formation sélective                              ,DCG                                                                                                                                                   
3333,formation sélective                              ,BTS - Services                                                                                                                                        
3813,formation sélective                              ,BTS - Production                                                                                                                                      
11335,formation sélective                              ,BUT - Service                                                                                                                                         
5480,formation sélective                              ,BUT - Production                                                                                                                                      
3054,formation sélective                              ,BUT - Production                                                                                                                                      
9542,formation sélective                              ,BTS - Services                                                                                                                                        
20422,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
4042,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
16824,formation sélective                              ,BTS - Services                                                                                                                                        
33069,formation sélective                              ,Diplôme d'Université                                                                                                                                
6143,formation sélective                              ,BTS - Production                                                                                                                                      
29413,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
2555,formation sélective                              ,BTS - Services                                                                                                                                        
4909,formation sélective                              ,BTS - Production                                                                                                                                      
21480,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
21834,formation sélective                              ,BPJEPS                                                                                                                                                
11511,formation sélective                              ,BUT - Production                                                                                                                                      
33864,formation sélective                              ,Mention complémentaire                                                                                                                               
2359,formation sélective                              ,BTS - Production                                                                                                                                      
2050,formation sélective                              ,BTS - Production                                                                                                                                      
5287,formation sélective                              ,BTS - Services                                                                                                                                        
5932,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
3228,formation sélective                              ,BTS - Services                                                                                                                                        
2921,formation sélective                              ,BTS - Services                                                                                                                                        
2024,formation sélective                              ,BTS - Services                                                                                                                                        
7087,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
21985,formation sélective                              ,DN MADE                                                                                                                                               
4058,formation sélective                              ,BTS - Production                                                                                                                                      
25238,formation sélective                              ,D.E secteur social                                                                                                                                    
3437,formation sélective                              ,Mise à niveau                                                                                                                                        
23072,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
9843,formation sélective                              ,BTS - Production                                                                                                                                      
23449,formation sélective                              ,D.E secteur social                                                                                                                                    
8906,formation sélective                              ,BUT - Service                                                                                                                                         
10066,formation sélective                              ,BTS - Production                                                                                                                                      
2630,formation sélective                              ,BTS - Production                                                                                                                                      
9165,formation sélective                              ,Mise à niveau                                                                                                                                        
12056,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
20232,formation sélective                              ,BTS - Production                                                                                                                                      
10861,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
8033,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
31765,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
3212,formation sélective                              ,BTS - Production                                                                                                                                      
25721,formation sélective                              ,Diplôme d'Université                                                                                                                                
4550,formation sélective                              ,"CUPGE - Sciences, technologie, santé                                                                                                                 "
4461,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
9211,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
13843,formation sélective                              ,BUT - Service                                                                                                                                         
84,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
4115,formation sélective                              ,DCG                                                                                                                                                   
31909,formation sélective                              ,BPJEPS                                                                                                                                                
23157,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
15315,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
8128,formation sélective                              ,BTS - Services                                                                                                                                        
11713,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
129,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
10240,formation sélective                              ,BTS - Production                                                                                                                                      
2979,formation sélective                              ,BTS - Production                                                                                                                                      
27461,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
10365,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7850,formation sélective                              ,BTS - Services                                                                                                                                        
10053,formation sélective                              ,BTS - Production                                                                                                                                      
31282,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
480,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
11603,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
29398,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
30914,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
30029,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
7755,formation sélective                              ,BTS - Services                                                                                                                                        
4921,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
9821,formation sélective                              ,BTS - Services                                                                                                                                        
3482,formation sélective                              ,BTS - Services                                                                                                                                        
31351,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
2235,formation sélective                              ,BTS - Services                                                                                                                                        
31680,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
9402,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7660,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
3788,formation sélective                              ,BTS - Production                                                                                                                                      
20663,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
7701,formation sélective                              ,BTS - Services                                                                                                                                        
15976,formation sélective                              ,BTS - Services                                                                                                                                        
4599,formation sélective                              ,BTS - Services                                                                                                                                        
2573,formation sélective                              ,BTS - Production                                                                                                                                      
12140,formation sélective                              ,BTS - Production                                                                                                                                      
15767,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
23557,formation sélective                              ,D.E secteur social                                                                                                                                    
33376,formation sélective                              ,BTS - Services                                                                                                                                        
4884,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
23082,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
10795,formation sélective                              ,BTS - Production                                                                                                                                      
20730,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
21972,formation sélective                              ,DN MADE                                                                                                                                               
10434,formation sélective                              ,BTS - Services                                                                                                                                        
30242,formation sélective                              ,Mention complémentaire                                                                                                                               
6565,formation sélective                              ,BTS - Agricole                                                                                                                                        
16723,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
11427,formation sélective                              ,BTS - Services                                                                                                                                        
11184,formation sélective                              ,BTS - Production                                                                                                                                      
19167,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
26820,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
3115,formation sélective                              ,BTS - Services                                                                                                                                        
8622,formation sélective                              ,BTS - Production                                                                                                                                      
7745,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
12006,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
2131,formation sélective                              ,BTS - Production                                                                                                                                      
9560,formation sélective                              ,BTS - Services                                                                                                                                        
4459,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
3159,formation sélective                              ,BTS - Agricole                                                                                                                                        
12452,formation sélective                              ,Mention complémentaire                                                                                                                               
10419,formation sélective                              ,BTS - Production                                                                                                                                      
24128,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
7377,formation sélective                              ,BTS - Production                                                                                                                                      
21028,formation sélective                              ,C.M.I - Cursus Master en Ingénierie                                                                                                                  
3943,formation sélective                              ,BTS - Production                                                                                                                                      
9730,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
26729,formation sélective                              ,BPJEPS                                                                                                                                                
27887,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
24902,formation sélective                              ,D.E secteur social                                                                                                                                    
29386,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
5552,formation sélective                              ,BTS - Agricole                                                                                                                                        
24660,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
3806,formation sélective                              ,BTS - Production                                                                                                                                      
12028,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
31652,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
21976,formation sélective                              ,DN MADE                                                                                                                                               
8575,formation sélective                              ,BUT - Production                                                                                                                                      
5313,formation sélective                              ,BTS - Services                                                                                                                                        
31891,formation sélective                              ,Diplôme d'Etablissement                                                                                                                              
31139,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
25803,formation sélective                              ,BTS - Services                                                                                                                                        
8288,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
2669,formation sélective                              ,BTS - Services                                                                                                                                        
10613,formation sélective                              ,BTS - Production                                                                                                                                      
8315,formation sélective                              ,BTS - Services                                                                                                                                        
4194,formation sélective                              ,BTS - Services                                                                                                                                        
23730,formation sélective                              ,D.E secteur social                                                                                                                                    
2501,formation sélective                              ,BTS - Agricole                                                                                                                                        
3014,formation sélective                              ,BUT - Production                                                                                                                                      
14781,formation sélective                              ,BUT - Service                                                                                                                                         
14596,formation sélective                              ,BTS - Services                                                                                                                                        
23413,formation sélective                              ,BTS - Services                                                                                                                                        
9577,formation sélective                              ,BTS - Production                                                                                                                                      
5559,formation sélective                              ,BUT - Service                                                                                                                                         
9209,formation sélective                              ,Licence - Sciences humaines et sociales                                                                                                               
7926,formation sélective                              ,BTS - Production                                                                                                                                      
17581,formation sélective                              ,BTS - Production                                                                                                                                      
23993,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
24002,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
4366,formation sélective                              ,BTS - Services                                                                                                                                        
30608,formation sélective                              ,BTS - Services                                                                                                                                        
2661,formation sélective                              ,BTS - Production                                                                                                                                      
25334,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
349,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
8881,formation sélective                              ,BTS - Production                                                                                                                                      
9581,formation sélective                              ,BTS - Production                                                                                                                                      
