eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0840017M,10429,35,499,141,484,16,4,83,48,109,67,276,15,2,2,0,11,27,5,24,3,6.0,18,11,2,8,8,9
0133425C,22963,18,515,246,507,93,9,222,45,118,33,74,8,1,3,2,2,9,5,8,1,0.0,9,1,1,3,5,0
0622949U,7464,35,383,171,363,39,9,143,51,78,39,103,20,2,0,12,6,33,14,32,1,5.0,27,9,4,10,13,6
0860037Y,10590,24,295,34,285,25,4,78,17,49,15,133,10,0,2,4,4,19,3,16,2,7.0,17,5,1,6,10,2
0410693F,5247,20,241,222,223,20,7,57,13,100,38,46,18,0,2,6,10,16,16,12,4,3.0,13,7,0,3,10,3
0290335G,3842,48,317,62,291,208,18,2,0,0,0,81,26,9,0,0,17,17,3,14,3,12.0,15,2,15,0,0,2
0875082B,64,60,4842,1518,4838,4154,337,0,0,0,0,684,4,1,0,0,3,50,14,50,0,8.0,42,0,42,0,0,8
0840015K,10424,12,93,1,90,4,1,34,8,33,11,19,3,0,0,2,1,8,0,8,0,2.0,7,1,1,2,4,1
0941934S,33324,16,98,25,48,30,6,3,1,1,0,14,50,28,2,3,17,9,3,8,1,3.0,7,1,7,0,0,2
0130051K,2588,32,826,105,826,134,39,222,108,179,101,291,0,0,0,0,0,32,1,32,0,1.0,25,14,9,7,9,7
9760461X,23063,52,887,762,887,286,163,146,99,63,39,392,0,0,0,0,0,52,44,52,0,15.0,21,13,14,5,2,31
0211053F,24826,55,362,296,362,56,7,47,8,25,6,234,0,0,0,0,0,63,53,63,0,24.0,19,0,9,6,4,44
0951673C,18830,30,277,9,277,7,1,31,15,183,77,56,0,0,0,0,0,29,0,29,0,11.0,24,9,1,3,20,5
0371558T,19398,35,670,527,670,118,14,207,43,6,2,339,0,0,0,0,0,35,32,35,0,6.0,16,5,6,10,0,19
0932270M,24404,26,3141,2345,3141,1341,401,824,356,13,3,963,0,0,0,0,0,25,20,25,0,1.0,24,7,15,9,0,1
0624237U,31845,10,6,1,3,2,0,0,0,0,0,1,3,0,0,1,2,2,0,1,1,0.0,0,0,0,0,0,2
0741307U,8912,15,132,81,130,10,1,40,11,57,26,23,2,0,2,0,0,15,3,11,0,3.0,13,5,2,4,7,2
0511296G,32170,141,893,539,893,709,87,29,6,2,0,153,0,0,0,0,0,140,69,140,0,40.0,97,14,95,2,0,43
0693330V,30694,12,47,2,44,2,0,6,3,28,14,8,3,0,1,1,1,9,1,8,0,1.0,5,2,0,4,1,4
0951710T,11612,35,776,400,776,114,20,263,93,139,54,260,0,0,0,0,0,35,23,35,0,8.0,33,13,4,20,9,2
0130001F,2524,35,974,859,917,86,25,222,92,306,158,303,57,22,0,0,35,36,31,33,2,4.0,28,10,5,12,11,8
0301577B,31853,19,2069,1344,2069,1623,350,62,26,8,4,376,0,0,0,0,0,17,11,17,0,1.0,16,3,16,0,0,1
0221739W,24870,32,236,216,236,37,8,44,6,15,5,140,0,0,0,0,0,29,27,29,0,1.0,9,1,4,4,1,20
0430020N,5384,15,276,41,267,11,1,38,8,41,10,177,9,0,0,5,4,12,0,12,0,4.0,12,2,2,6,4,0
0951575W,23290,115,6233,5461,6233,579,210,900,408,865,477,3889,0,0,0,0,0,108,97,108,0,2.0,24,21,5,7,12,84
0460007H,22407,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0120937D,25430,18,111,65,109,0,0,1,0,101,38,7,2,0,0,2,0,8,6,8,0,6.0,8,2,0,0,8,0
0442674T,5594,32,272,150,257,58,5,38,5,10,1,151,15,2,3,1,9,16,7,16,0,12.0,12,1,6,5,1,4
0480022N,5802,16,99,1,89,17,1,10,2,33,12,29,10,2,0,3,5,11,0,10,1,3.0,9,1,4,1,4,2
0851642Y,10507,15,34,7,32,5,1,11,0,2,1,14,2,1,1,0,0,3,0,3,0,2.0,3,0,0,3,0,0
0290346U,28040,10,1890,1436,1890,1389,210,38,7,12,9,451,0,0,0,0,0,10,9,10,0,0.0,10,0,10,0,0,0
0250008Y,21561,15,599,421,599,241,43,138,29,42,9,178,0,0,0,0,0,15,10,15,0,1.0,14,2,7,7,0,1
0754431J,109,20,239,21,239,0,0,239,30,0,0,0,0,0,0,0,0,22,3,22,0,10.0,22,5,0,22,0,0
0660437S,31761,10,205,112,205,106,28,15,5,9,8,75,0,0,0,0,0,10,7,10,0,1.0,8,4,5,2,1,2
0592602H,6887,88,1365,125,1307,704,75,329,65,4,2,270,58,10,11,0,37,85,6,79,6,6.0,70,15,40,30,0,15
0492433D,5889,70,430,335,335,220,31,28,7,15,4,72,95,28,13,1,53,69,55,44,25,29.0,46,6,36,7,3,23
0671636P,21543,17,342,282,342,124,20,75,11,43,18,100,0,0,0,0,0,17,16,17,0,3.0,12,4,5,3,4,5
0861283C,10654,49,519,103,484,325,38,46,9,1,0,112,35,5,5,0,25,26,6,18,8,1.0,11,2,10,1,0,15
0501700B,25269,62,2396,2019,2396,399,55,525,97,357,106,1115,0,0,0,0,0,62,57,62,0,1.0,42,10,22,16,4,20
0330192E,25930,12,203,138,203,179,10,0,0,0,0,24,0,0,0,0,0,11,8,11,0,2.0,11,0,11,0,0,0
0333454A,26027,5,105,26,105,105,8,0,0,0,0,0,0,0,0,0,0,5,2,5,0,2.0,5,2,5,0,0,0
0694373D,25368,80,863,407,845,674,52,97,14,5,4,69,18,4,3,0,11,84,45,82,2,81.0,77,8,63,13,1,7
0952260R,15371,20,189,135,103,67,16,6,1,11,8,19,86,29,6,5,46,13,12,13,0,11.0,11,2,11,0,0,2
0770926N,9795,35,781,373,781,76,23,248,73,229,79,228,0,0,0,0,0,36,21,36,0,9.0,35,11,5,16,14,1
0341089Z,4566,45,93,57,27,18,1,1,1,1,0,7,66,4,5,2,55,8,3,0,8,0.0,0,0,0,0,0,8
9720832X,19482,50,218,135,185,145,41,9,5,2,1,29,33,22,2,0,9,20,11,15,5,4.0,16,9,15,1,0,4
0941111X,24389,130,735,292,488,302,65,37,13,10,3,139,247,66,26,9,146,124,41,59,65,24.0,69,17,49,16,4,55
0650027B,21906,12,39,5,38,0,0,0,0,35,4,3,1,0,0,1,0,6,2,5,0,0.0,5,1,0,0,5,1
