eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0692185A,28709,100,2586,2501,2586,841,140,29,9,1,1,1715,0,0,0,0,0,99,95,99,0,50.0,50,7,50,0,0,49
0530939H,172,90,1787,345,1781,1770,130,0,0,0,0,11,6,6,0,0,0,37,5,36,1,25.0,37,3,37,0,0,0
0290171D,3819,35,211,147,193,13,3,86,10,51,17,43,18,4,0,7,7,17,14,16,1,5.0,16,2,1,9,6,1
0761343X,9643,15,93,4,83,5,1,15,3,38,11,25,10,1,0,0,9,13,1,12,1,5.0,11,1,0,4,7,2
0130051K,2580,18,195,138,195,0,0,176,33,0,0,19,0,0,0,0,0,18,11,18,0,5.0,17,6,0,17,0,1
0631075B,7614,35,419,192,419,91,12,114,19,128,41,86,0,0,0,0,0,30,9,30,0,5.0,23,6,4,9,10,7
0211135V,3233,30,442,160,426,58,10,79,15,31,8,258,16,5,1,0,10,18,4,16,2,3.0,12,4,2,9,1,6
0690195M,24697,100,479,375,344,248,33,19,3,8,3,69,135,41,14,5,75,56,46,40,16,31.0,42,5,42,0,0,14
0382099A,5100,30,563,73,563,60,5,254,54,96,31,153,0,0,0,0,0,26,3,26,0,1.0,18,8,5,3,10,8
0180584M,3120,46,414,27,393,248,27,107,11,3,1,35,21,2,5,1,13,40,3,36,4,13.0,39,5,25,14,0,1
0470003Y,5770,35,636,315,636,60,24,251,82,213,91,112,0,0,0,0,0,28,20,28,0,9.0,27,11,1,12,14,1
0281010W,23261,74,4485,3781,4485,665,114,1089,248,402,138,2329,0,0,0,0,0,82,69,82,0,1.0,55,11,15,33,7,27
0281009V,23260,60,3851,3231,3851,512,88,953,227,321,114,2065,0,0,0,0,0,60,52,60,0,3.0,40,18,8,18,14,20
0931827F,15416,100,518,397,229,108,27,13,4,8,3,100,289,67,22,12,188,91,69,28,60,14.0,34,9,17,12,5,57
0940743X,11445,35,1588,741,1585,106,28,431,176,491,252,557,3,2,0,0,1,32,13,30,0,2.0,24,13,1,8,15,8
0010989V,23159,45,5707,4825,5707,792,161,1026,279,743,300,3146,0,0,0,0,0,45,42,45,0,0.0,20,5,7,5,8,25
0671832C,7989,24,193,48,192,13,3,71,19,67,29,41,1,0,1,0,0,21,3,21,0,9.0,20,6,1,6,13,1
0530997W,108,24,222,12,222,0,0,222,18,0,0,0,0,0,0,0,0,29,2,29,0,29.0,29,4,0,29,0,0
0783344L,10083,32,223,126,206,44,6,37,8,2,1,123,17,0,6,0,11,14,6,13,1,7.0,7,1,6,1,0,7
0940580V,11427,33,695,485,695,14,6,184,89,256,153,241,0,0,0,0,0,33,24,32,0,3.0,30,21,2,10,18,3
0920134W,21622,15,761,410,761,279,58,158,33,103,21,221,0,0,0,0,0,15,6,15,0,2.0,13,3,10,3,0,2
0760087G,17928,13,56,13,38,1,0,7,2,10,7,20,18,2,2,3,11,4,0,2,2,2.0,2,2,0,0,2,2
0440984F,27996,36,4843,3342,4843,4066,488,50,17,8,5,719,0,0,0,0,0,36,24,36,0,0.0,36,9,36,0,0,0
0301631K,23741,21,105,99,105,11,3,14,4,13,5,67,0,0,0,0,0,21,20,21,0,9.0,7,1,3,3,1,14
0470003Y,5769,35,264,182,246,11,3,91,35,71,43,73,18,0,10,2,6,29,19,25,2,7.0,26,7,2,15,9,3
0251711Z,3578,18,534,321,534,66,16,146,64,118,63,204,0,0,0,0,0,20,13,20,0,8.0,14,4,2,8,4,6
0731248K,8817,10,111,3,107,7,1,9,0,49,15,42,4,0,2,0,2,7,0,7,0,3.0,6,1,0,0,6,1
0570023R,6516,35,470,222,379,28,12,137,56,147,53,67,91,11,0,35,45,36,13,32,4,13.0,32,9,3,17,12,4
0311384L,17961,50,512,176,512,319,68,12,4,0,0,181,0,0,0,0,0,44,16,44,0,14.0,32,11,31,1,0,12
0133305X,22960,20,58,49,49,8,2,13,3,10,3,18,9,0,1,4,4,0,0,0,0,0.0,0,0,0,0,0,0
0171463Y,29027,5,133,41,120,94,13,2,0,0,0,24,13,7,0,0,6,3,2,3,0,0.0,3,0,3,0,0,0
0421095M,27846,50,1584,1073,1584,1205,246,42,18,14,8,323,0,0,0,0,0,49,28,49,0,1.0,44,10,44,0,0,5
0170051N,14579,24,181,98,161,22,4,57,17,30,9,52,20,0,10,1,9,16,8,12,4,1.0,8,1,1,5,2,8
0480635E,5812,36,185,23,178,44,5,57,6,31,10,46,7,1,0,1,5,20,3,18,2,2.0,10,3,2,4,4,10
0331766R,4400,100,207,141,108,41,20,10,6,9,6,48,99,4,8,4,83,53,28,16,37,14.0,15,6,7,7,1,38
0420957M,5311,161,3211,1561,3211,1735,305,993,229,26,13,457,0,0,0,0,0,152,81,152,0,23.0,141,33,68,73,0,11
0750704H,31573,48,2848,1363,2839,2466,299,2,1,2,1,369,9,5,0,0,4,39,13,38,1,2.0,36,4,36,0,0,3
0600040T,7249,20,227,142,182,12,3,55,19,48,23,67,45,0,0,23,22,9,6,7,1,5.0,9,3,2,2,5,0
0755976N,9347,86,1521,640,1521,993,193,9,4,3,1,516,0,0,0,0,0,84,32,84,0,24.0,63,20,63,0,0,21
0611269Y,26258,46,560,481,560,151,20,70,8,9,1,330,0,0,0,0,0,46,42,46,0,5.0,32,1,32,0,0,14
0061763J,2320,24,246,31,246,31,8,57,19,75,34,83,0,0,0,0,0,17,1,17,0,1.0,14,7,1,6,7,3
0240026Y,3429,28,210,10,209,19,4,43,11,104,37,43,1,0,0,1,0,27,1,27,0,10.0,26,6,2,8,16,1
0383546Y,32576,30,1327,1150,1327,858,150,111,28,24,12,334,0,0,0,0,0,28,26,28,0,5.0,27,12,27,0,0,1
0350700W,4667,32,549,181,542,43,5,130,32,109,25,260,7,3,0,1,3,13,5,10,3,2.0,11,2,2,3,6,2
0672198A,7994,29,187,50,187,17,5,50,12,53,23,67,0,0,0,0,0,29,8,29,0,5.0,27,9,3,12,12,2
0597065J,20946,450,2874,1653,2709,1575,433,357,177,58,39,719,165,26,20,7,112,439,213,367,72,161.0,257,99,189,57,11,182
0930933J,26448,15,178,109,75,31,6,20,3,6,3,18,103,21,10,17,55,12,8,6,6,2.0,8,1,6,1,1,4
0130051K,2582,30,992,727,945,208,69,295,123,44,25,398,47,8,5,0,34,30,21,26,3,6.0,20,8,9,8,3,10
0593006X,6938,32,214,136,140,5,1,36,13,46,25,53,74,2,15,16,41,17,11,11,6,4.0,10,6,0,6,4,7
0720825F,24775,15,84,20,59,11,3,10,1,30,11,8,25,9,4,8,4,13,1,7,6,3.0,12,3,2,1,9,1
0301687W,4016,500,1234,857,961,621,208,65,30,68,41,207,273,40,18,25,190,180,111,104,76,45.0,99,44,58,21,20,81
9710773N,23373,122,1794,1521,1794,425,195,313,160,164,109,892,0,0,0,0,0,121,110,120,0,64.0,71,36,32,32,7,50
0762284V,9721,50,246,41,229,50,6,60,3,48,10,71,17,3,2,0,12,34,2,33,1,22.0,32,6,12,9,11,2
0251671F,21989,15,375,275,375,148,20,104,14,19,5,104,0,0,0,0,0,14,14,14,0,5.0,9,3,3,6,0,5
0921204J,11074,140,3160,2374,2060,1692,272,53,19,7,2,308,1100,499,72,11,518,140,117,112,28,18.0,119,14,118,1,0,21
0952260R,14464,30,825,220,748,619,73,5,4,0,0,124,77,22,1,1,53,24,5,19,5,1.0,17,2,17,0,0,7
0440149Y,5486,24,281,121,276,35,6,93,12,96,18,52,5,1,1,0,3,24,11,24,0,7.0,19,2,2,6,11,5
0340040J,4493,40,1028,506,960,406,105,228,90,24,17,302,68,9,6,5,48,36,19,33,3,3.0,26,8,15,11,0,10
0511196Y,6111,19,265,71,251,30,4,66,13,39,7,116,14,2,1,2,9,18,1,14,4,2.0,15,1,3,5,7,3
0131398Z,2636,38,617,298,526,88,23,209,82,99,38,130,91,11,5,19,56,31,13,23,8,6.0,22,8,10,6,6,9
0941918Z,11538,24,501,31,501,47,13,144,41,154,56,156,0,0,0,0,0,23,1,23,0,3.0,17,3,3,6,8,6
0755976N,9333,90,2165,1729,2165,1297,373,210,95,44,20,614,0,0,0,0,0,89,72,89,0,6.0,74,27,66,7,1,15
0061493R,23067,88,5475,4647,5475,1025,219,792,224,478,179,3180,0,0,0,0,0,88,81,88,0,3.0,39,10,20,14,5,49
0930125F,11193,12,413,42,413,17,8,115,62,167,89,114,0,0,0,0,0,9,0,9,0,2.0,8,8,0,4,4,1
0470003Y,12445,30,614,277,614,193,43,102,26,1,1,318,0,0,0,0,0,27,12,27,0,5.0,23,4,14,9,0,4
0490072M,31139,5,20,8,19,0,0,19,10,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0490946M,5919,42,1541,1108,1541,1371,127,4,2,0,0,166,0,0,0,0,0,39,27,39,0,5.0,39,4,39,0,0,0
9730308X,25234,12,80,29,57,7,3,4,2,34,27,12,23,2,1,11,9,6,4,2,1,0.0,5,3,1,1,3,1
9740078S,13465,16,285,103,285,64,19,53,19,60,25,108,0,0,0,0,0,17,6,17,0,6.0,14,8,7,2,5,3
0632035V,13904,250,1318,678,1159,655,136,179,62,23,15,302,159,20,11,11,117,244,97,184,60,105.0,127,36,100,19,8,117
0132133Y,12910,50,1099,521,990,445,101,156,69,23,12,366,109,16,22,7,64,43,20,40,2,17.0,35,3,28,6,1,8
0751717J,9207,175,862,379,862,621,96,20,5,7,3,214,0,0,0,0,0,171,71,171,0,48.0,151,29,146,3,2,20
0080047H,30124,15,50,2,50,1,0,0,0,34,21,15,0,0,0,0,0,11,1,11,0,5.0,6,6,0,0,6,5
0594391C,24722,15,294,231,294,98,20,113,17,8,2,75,0,0,0,0,0,15,14,15,0,6.0,11,3,5,6,0,4
0597065J,24235,15,44,33,33,1,0,1,1,1,0,30,11,1,0,0,10,14,9,10,4,5.0,0,0,0,0,0,14
0492226D,432,32,3737,1665,3737,3096,268,0,0,0,0,641,0,0,0,0,0,32,27,32,0,27.0,30,1,30,0,0,2
9710804X,11754,17,108,33,103,21,11,23,8,25,15,34,5,0,3,0,2,13,4,12,1,5.0,12,6,5,1,6,1
0690195M,8265,50,164,138,54,30,7,4,0,1,0,19,110,30,11,4,65,14,11,5,9,5.0,9,1,8,0,1,5
0762964J,20187,15,157,12,157,7,3,32,9,86,32,32,0,0,0,0,0,13,0,13,0,5.0,11,5,0,3,8,2
0352767T,15176,40,549,419,547,188,31,155,33,19,9,185,2,0,0,1,1,30,22,30,0,8.0,23,3,15,8,0,7
0900231M,10821,74,1212,209,990,527,73,286,64,11,2,166,222,86,31,3,102,55,9,47,8,1.0,48,7,34,14,0,7
0220116G,3343,35,307,176,292,21,2,120,25,83,17,68,15,0,1,8,6,21,12,21,0,0.0,21,3,2,10,9,0
0860037Y,10591,15,211,16,190,21,6,58,12,57,19,54,21,0,1,14,6,15,0,13,2,2.0,10,4,2,2,6,5
0730763H,8798,12,159,99,159,10,1,69,23,43,12,37,0,0,0,0,0,11,7,11,0,0.0,9,3,0,5,4,2
0451335G,13537,24,321,295,311,30,8,67,19,143,56,71,10,0,1,1,8,19,19,17,2,0.0,13,6,1,2,10,6
9711032V,22574,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0.0,8,8,0,0,8,0
0601870G,30034,12,56,13,56,8,0,18,9,20,10,10,0,0,0,0,0,12,4,12,0,6.0,10,6,1,6,3,2
0595786U,7155,15,230,39,225,20,6,58,19,57,26,90,5,0,0,3,2,13,3,12,1,3.0,11,4,1,4,6,2
0311383K,4165,70,436,333,436,247,60,55,9,29,14,105,0,0,0,0,0,69,55,69,0,25.0,55,19,47,3,5,14
0630984C,7593,27,402,114,400,53,6,68,14,81,15,198,2,0,0,0,2,25,5,25,0,5.0,25,3,5,8,12,0
0580758J,6698,100,511,375,465,321,83,66,30,15,7,63,46,13,4,3,26,77,61,65,12,26.0,64,19,51,9,4,13
0572081C,6597,370,2724,1945,2583,1839,387,260,89,48,21,436,141,29,10,6,96,361,238,302,59,34.0,259,79,217,33,9,102
0771663P,9849,24,441,296,441,17,4,114,49,166,79,144,0,0,0,0,0,24,19,24,0,2.0,20,9,0,8,12,4
0261372A,31032,50,536,164,497,357,51,13,2,1,0,126,39,11,0,0,28,40,15,30,10,1.0,23,5,21,1,1,17
0590184E,6815,13,1142,403,1142,492,91,115,34,97,30,438,0,0,0,0,0,13,5,13,0,5.0,12,2,11,0,1,1
0720048L,18096,11,157,20,116,5,0,19,2,28,8,64,41,1,8,7,25,10,1,4,6,1.0,4,2,1,0,3,6
0333298F,26670,35,989,497,989,614,109,64,20,14,10,297,0,0,0,0,0,36,20,35,0,2.0,27,0,26,1,0,9
0600021X,12702,30,377,325,336,55,16,29,7,155,64,97,41,0,2,28,11,23,22,19,4,6.0,19,11,4,0,15,4
0811293R,10309,25,519,283,485,308,53,33,5,2,0,142,34,10,3,0,21,21,5,13,7,0.0,8,2,7,1,0,13
0330021U,31482,27,1993,1001,1993,1738,120,3,0,0,0,252,0,0,0,0,0,26,10,26,0,5.0,26,1,26,0,0,0
0650065T,7826,35,320,144,303,36,5,121,27,94,36,52,17,5,0,0,12,31,15,26,5,7.0,23,5,1,7,15,8
0750647W,8951,48,2791,293,2791,299,86,795,294,723,311,974,0,0,0,0,0,48,7,48,0,12.0,37,17,8,15,14,11
0751150E,25841,30,1573,380,1573,1571,117,0,0,0,0,2,0,0,0,0,0,30,18,30,0,12.0,30,0,30,0,0,0
0754015G,9482,28,218,15,191,14,2,58,16,74,11,45,27,6,0,3,18,23,1,22,0,9.0,21,3,1,10,10,2
0521032P,24446,15,499,324,499,135,35,145,29,74,22,145,0,0,0,0,0,14,7,14,0,4.0,13,2,4,7,2,1
0922007G,31981,20,1041,434,1039,880,40,55,4,4,1,100,2,0,0,0,2,3,1,3,0,2.0,2,0,2,0,0,1
0010014K,31317,20,167,83,158,100,11,1,1,1,1,56,9,5,0,0,4,4,2,4,0,3.0,4,1,4,0,0,0
0940118T,11386,35,1286,101,1286,147,47,338,124,376,161,425,0,0,0,0,0,36,2,36,0,3.0,32,7,6,13,13,4
0130043B,2557,30,862,127,862,123,41,205,109,189,106,345,0,0,0,0,0,29,2,29,0,5.0,20,14,5,7,8,9
0770918E,9778,24,496,427,496,37,12,109,39,205,94,145,0,0,0,0,0,23,22,23,0,2.0,22,6,2,9,11,1
0421095M,5344,45,141,96,77,25,6,11,4,18,8,23,64,8,5,11,40,22,15,9,13,5.0,13,5,6,2,5,9
0870041X,25966,11,165,11,157,15,3,9,0,41,9,92,8,0,0,2,6,6,0,1,3,0.0,3,1,0,1,2,3
0632035V,26634,40,3294,2584,3294,2627,427,74,27,8,3,585,0,0,0,0,0,40,36,40,0,5.0,40,10,40,0,0,0
0622257S,7445,24,289,101,281,33,6,125,31,58,19,65,8,0,2,1,5,14,5,13,1,7.0,9,4,0,7,2,5
0750674A,9022,24,1534,928,1534,53,17,508,230,506,299,467,0,0,0,0,0,22,20,22,0,1.0,20,9,2,9,9,2
0021476U,2077,15,136,8,133,2,0,29,10,55,18,47,3,0,2,0,1,13,1,11,2,5.0,12,5,0,2,10,1
0311383K,4158,40,90,41,80,60,14,8,2,0,0,12,10,3,0,0,7,30,15,28,2,22.0,23,9,19,4,0,7
0011329P,2037,130,1345,1036,1345,1008,211,134,43,30,14,173,0,0,0,0,0,129,89,129,0,19.0,119,27,103,12,4,10
0130053M,2595,96,900,191,900,704,99,3,2,0,0,193,0,0,0,0,0,98,7,98,0,4.0,97,15,97,0,0,1
0211237F,3268,180,1200,927,1116,703,164,98,26,28,8,287,84,17,4,5,58,169,116,138,31,134.0,102,30,78,18,6,67
0830766G,31839,25,1332,466,1332,833,124,167,36,38,21,294,0,0,0,0,0,23,12,23,0,5.0,17,6,16,0,1,6
0341921D,22528,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0.0,8,2,0,3,5,0
0930830X,11204,35,225,149,203,155,37,1,0,2,0,45,22,14,1,1,6,21,18,17,3,11.0,21,5,21,0,0,0
0400139J,14699,27,251,110,239,9,1,22,6,62,29,146,12,0,3,3,6,20,9,20,0,6.0,15,6,2,0,13,5
0312421N,24665,96,1415,257,1403,1243,40,23,3,0,0,137,12,5,0,0,7,88,18,86,2,46.0,82,3,82,0,0,6
0620042J,7344,33,676,364,676,70,23,229,94,259,126,118,0,0,0,0,0,29,21,29,0,12.0,26,13,4,6,16,3
0631068U,7605,26,140,8,123,7,2,20,3,62,13,34,17,5,2,4,6,21,3,17,4,6.0,18,6,1,3,14,3
0632035V,7636,70,750,575,750,531,156,68,23,6,2,145,0,0,0,0,0,69,56,69,0,9.0,57,13,56,1,0,12
0750686N,21954,15,421,277,421,142,27,75,10,44,5,160,0,0,0,0,0,15,13,15,0,4.0,13,0,7,4,2,2
0650027B,7820,24,154,14,150,12,2,47,3,51,9,40,4,1,0,0,3,14,1,12,2,3.0,11,1,1,3,7,3
0741237T,8910,54,332,78,330,127,12,68,6,34,1,101,2,0,0,0,2,56,17,56,0,33.0,40,4,23,13,4,16
0400007R,5202,35,592,284,590,45,11,239,69,214,62,92,2,0,0,2,0,27,11,27,0,9.0,26,5,1,13,12,1
0060026W,2202,23,260,184,248,23,4,77,23,80,28,68,12,7,0,0,5,19,15,18,1,3.0,19,2,2,8,9,0
0930127H,11198,35,1400,649,1400,87,36,441,201,445,231,427,0,0,0,0,0,31,11,31,0,2.0,28,13,6,11,11,3
0350937D,26544,200,2983,2488,2983,449,118,91,23,38,10,2405,0,0,0,0,0,212,175,212,0,142.0,16,6,12,1,3,196
0210071N,21288,4,49,15,32,13,3,11,1,2,1,6,17,2,7,1,7,3,2,3,0,3.0,1,1,1,0,0,2
0440984F,20517,145,1956,1364,1956,1331,300,194,72,52,28,379,0,0,0,0,0,145,110,145,0,51.0,134,42,119,11,4,11
0630034V,7576,35,558,264,540,55,15,182,65,166,71,137,18,0,5,0,13,31,14,29,1,3.0,28,13,4,10,14,3
0320025D,21180,18,155,51,137,3,0,25,7,38,16,71,18,0,7,4,7,14,6,11,3,2.0,10,5,0,2,8,4
0811293R,23966,5,281,179,281,259,40,3,0,2,1,17,0,0,0,0,0,7,7,7,0,0.0,7,1,7,0,0,0
0570098X,6555,35,358,175,335,38,9,123,39,112,43,62,23,4,0,7,12,28,20,24,4,8.0,26,11,3,12,11,2
0180561M,3113,23,326,215,286,76,20,45,6,15,7,150,40,5,11,2,22,19,15,12,7,1.0,11,1,7,2,2,8
0691775E,8376,185,1533,717,1521,976,193,55,21,12,9,478,12,3,0,0,9,190,83,181,9,19.0,107,31,97,8,2,83
0241131Z,27820,110,1716,972,1521,996,195,182,64,27,11,316,195,39,17,4,135,82,37,43,39,2.0,44,12,32,10,2,38
9740478B,28309,50,557,346,439,185,64,67,42,39,32,148,118,19,21,17,61,56,38,27,29,1.0,29,14,12,8,9,27
0772894C,9927,52,395,134,395,262,63,4,2,1,1,128,0,0,0,0,0,50,13,50,0,18.0,33,8,33,0,0,17
0332292M,19430,42,751,589,751,136,21,197,49,10,0,408,0,0,0,0,0,42,31,42,0,3.0,21,7,11,10,0,21
0560026Z,6430,27,273,15,269,9,2,51,7,118,31,91,4,0,2,0,2,22,0,22,0,10.0,18,7,0,2,16,4
0383546Y,5081,40,231,182,192,111,46,15,9,9,6,57,39,6,1,4,28,37,27,28,9,10.0,19,13,14,3,2,18
0501850P,6037,14,614,521,608,163,16,191,33,26,7,228,6,0,0,3,3,15,15,15,0,6.0,9,1,3,5,1,6
0597065J,27163,320,8339,5876,8339,6763,1117,177,77,32,16,1367,0,0,0,0,0,345,256,345,0,340.0,335,61,334,1,0,10
0751722P,14108,32,963,184,963,692,90,13,4,2,1,256,0,0,0,0,0,35,6,35,0,12.0,32,7,32,0,0,3
0597132G,12795,407,2540,772,2540,1583,339,329,107,70,28,558,0,0,0,0,0,404,98,403,0,50.0,322,103,244,62,16,82
0941347D,11521,33,1049,462,860,59,24,247,113,194,93,360,189,12,69,3,105,35,16,23,11,7.0,25,9,5,8,12,10
0660437S,7866,240,1343,975,1343,908,265,171,68,43,21,221,0,0,0,0,0,247,173,247,0,55.0,200,84,154,36,10,47
0142218K,2942,48,839,62,839,435,51,241,35,19,4,144,0,0,0,0,0,43,0,43,0,4.0,41,4,22,17,2,2
0170135E,24685,12,19,16,16,2,0,1,0,5,1,8,3,0,0,2,1,6,5,6,0,5.0,4,1,1,1,2,2
0021887R,23073,55,2646,2185,2646,453,110,451,136,392,163,1350,0,0,0,0,0,55,51,55,0,2.0,42,17,12,8,22,13
0751722P,30979,115,4307,1206,4307,2765,500,210,84,8,4,1324,0,0,0,0,0,109,33,109,0,8.0,72,19,68,4,0,37
0550002D,6400,35,289,132,289,25,7,78,24,59,21,127,0,0,0,0,0,27,8,27,0,8.0,23,9,3,11,9,4
0301778V,4025,38,453,207,437,31,13,111,48,153,83,142,16,0,5,0,11,25,6,25,0,7.0,24,13,4,10,10,1
0690173N,25826,171,13797,8473,13797,11642,1267,37,15,3,2,2115,0,0,0,0,0,171,130,171,0,19.0,92,13,92,0,0,79
0760096S,9608,68,845,426,726,91,35,184,74,135,69,316,119,0,22,31,66,52,25,37,15,5.0,33,18,1,18,14,19
0692589P,23168,48,7856,6691,7856,1222,281,1424,412,906,375,4304,0,0,0,0,0,48,42,48,0,1.0,37,3,8,21,8,11
0596244S,7199,124,1156,523,1143,538,99,374,124,28,9,203,13,0,10,0,3,113,57,112,1,77.0,94,29,43,49,2,19
0590122M,6805,48,1062,931,1055,74,25,302,149,360,201,319,7,0,0,2,5,42,38,41,0,0.0,35,17,2,12,21,7
0020049T,2060,35,589,308,557,35,17,100,38,70,31,352,32,0,4,15,13,30,19,26,3,3.0,13,2,3,7,3,17
0920141D,11003,30,1352,1197,1352,77,36,322,152,513,262,440,0,0,0,0,0,30,29,30,0,4.0,13,8,1,6,6,17
0762642J,26037,16,532,462,532,131,21,77,15,5,3,319,0,0,0,0,0,16,16,16,0,4.0,13,0,9,4,0,3
0681166Y,8163,80,544,252,519,313,64,52,21,49,22,105,25,0,3,5,17,78,31,70,8,14.0,54,14,36,8,10,24
0311384L,4184,130,633,105,504,241,48,37,8,6,0,220,129,22,6,0,101,104,15,74,30,27.0,26,3,23,2,1,78
0440139M,464,14,227,3,225,0,0,217,50,0,0,8,2,0,2,0,0,13,0,13,0,3.0,13,0,0,13,0,0
0161095D,23773,12,1014,720,1014,361,72,317,71,79,22,257,0,0,0,0,0,12,8,12,0,3.0,9,3,1,7,1,3
0251021Z,33535,16,75,19,67,4,0,25,3,19,4,19,8,1,0,4,3,12,2,12,0,2.0,7,1,0,4,3,5
0370800U,32018,40,150,117,83,64,16,3,2,1,0,15,67,21,2,4,40,42,35,19,23,18.0,22,9,18,3,1,20
0596163D,30793,40,184,58,169,131,6,13,0,1,0,24,15,4,3,0,8,40,11,33,7,18.0,32,2,26,6,0,8
0570108H,6564,24,181,8,172,5,2,24,8,63,29,80,9,0,0,7,2,19,1,18,1,7.0,18,5,1,3,14,1
0920956P,11060,86,907,99,871,347,62,335,82,7,2,182,36,12,2,0,22,80,8,73,7,5.0,59,15,27,32,0,21
0932047V,11329,12,503,66,503,115,23,85,19,125,38,178,0,0,0,0,0,12,2,12,0,3.0,11,3,5,4,2,1
0572590F,6633,15,211,28,203,29,3,58,12,33,6,83,8,0,0,1,7,12,2,9,3,1.0,6,1,1,3,2,6
0451067R,17735,15,135,5,135,0,0,20,3,71,20,44,0,0,0,0,0,17,2,17,0,5.0,11,3,0,0,11,6
0754032A,26163,67,459,349,459,243,21,40,5,4,0,172,0,0,0,0,0,69,47,69,0,49.0,29,2,24,5,0,40
0623903F,23490,12,68,8,68,0,0,0,0,55,9,13,0,0,0,0,0,13,0,13,0,1.0,12,4,0,0,12,1
0830053G,10343,96,938,349,856,543,61,1,1,1,1,311,82,42,1,0,39,55,19,42,13,2.0,42,4,42,0,0,13
0211091X,3230,32,192,84,165,32,7,44,8,32,8,57,27,1,1,12,13,31,14,26,5,4.0,15,3,2,6,7,16
0050604E,2177,84,1018,442,942,547,109,213,66,6,1,176,76,3,41,0,32,76,23,70,6,18.0,60,11,34,26,0,16
0031121C,21091,80,1972,651,1972,1371,209,222,41,36,14,343,0,0,0,0,0,78,15,78,0,22.0,61,11,52,7,2,17
0560858D,6466,24,139,39,131,22,4,47,10,24,2,38,8,2,1,0,5,13,2,11,2,6.0,11,2,0,5,6,2
0171623X,25177,42,1005,170,989,754,67,76,14,0,0,159,16,7,1,0,8,27,2,26,1,14.0,27,4,21,6,0,0
0220097L,3337,35,316,148,302,33,6,112,21,96,22,61,14,0,0,13,1,22,10,21,1,10.0,19,7,6,4,9,3
0940113M,11371,22,367,4,326,9,3,36,16,196,91,85,41,1,21,0,19,16,0,16,0,2.0,14,7,1,1,12,2
0141408E,20434,80,539,413,508,158,39,23,10,14,4,313,31,2,0,0,29,80,59,62,17,11.0,8,3,7,0,1,72
7200583W,11704,24,142,86,137,8,2,53,23,27,12,49,5,0,0,2,3,16,12,15,1,5.0,9,4,0,6,3,7
0870581J,10694,19,182,99,171,12,2,22,8,14,6,123,11,3,2,0,6,10,7,9,1,0.0,8,2,0,5,3,2
0211033J,3211,24,271,21,271,19,3,61,12,113,33,78,0,0,0,0,0,23,2,23,0,6.0,21,3,3,5,13,2
0753147N,23906,75,108,65,103,63,9,25,1,0,0,15,5,1,1,1,2,18,13,18,0,18.0,15,1,9,6,0,3
0592808G,33589,240,370,289,314,212,37,26,10,3,2,73,56,21,2,3,30,45,36,30,15,27.0,29,3,29,0,0,16
0540038Y,31486,24,621,315,614,474,41,1,0,1,0,138,7,4,0,1,2,15,9,15,0,0.0,12,1,12,0,0,3
0751719L,9222,27,975,626,975,582,94,49,14,56,18,288,0,0,0,0,0,26,18,26,0,6.0,21,3,20,1,0,5
0311098A,25301,15,372,355,372,58,15,72,14,43,8,199,0,0,0,0,0,15,15,15,0,8.0,4,1,2,1,1,11
0333481E,31115,15,1246,313,1243,1235,106,0,0,0,0,8,3,3,0,0,0,2,0,2,0,2.0,2,0,2,0,0,0
0520844K,6181,35,274,155,272,20,2,106,26,82,35,64,2,0,0,0,2,34,27,34,0,16.0,27,11,2,10,15,7
0620215X,7398,72,363,168,279,195,35,12,6,0,0,72,84,25,3,1,55,32,12,24,8,9.0,17,4,15,2,0,15
0622114L,7414,26,144,70,111,17,5,24,7,11,2,59,33,3,9,2,19,20,8,12,8,8.0,14,4,3,6,5,6
0331766R,4419,50,157,103,121,59,22,8,2,7,3,47,36,2,1,0,33,30,16,19,11,19.0,10,4,9,1,0,20
0492406Z,5906,35,413,152,413,88,13,156,24,120,21,49,0,0,0,0,0,31,12,31,0,5.0,31,4,9,15,7,0
0753537M,9442,38,619,423,573,160,32,152,27,19,8,242,46,10,8,0,28,37,25,31,6,6.0,17,4,9,7,1,20
0220056S,31382,48,356,186,348,268,20,0,0,0,0,80,8,5,0,0,3,15,7,14,1,3.0,14,1,14,0,0,1
0420046X,20250,1,46,1,46,8,1,12,2,21,6,5,0,0,0,0,0,1,0,1,0,1.0,1,0,0,1,0,0
0590121L,6791,30,270,12,269,12,4,36,13,130,73,91,1,0,0,0,1,19,1,19,0,3.0,15,6,0,1,14,4
0753541S,29105,25,135,98,94,64,3,3,1,0,0,27,41,32,1,0,8,25,19,11,14,3.0,21,1,21,0,0,4
